;treffen bewegung seite;theater bühne rolle;könig zimmer jung;thl gr kirche;lassen weise mensch;blatt verfasser abendblatt;hiesig finden haus;blatt armee nachricht;könig majestät krankheit;bild kunst künstler;brief stadt richtung;kind jung frau;wissenschaft geist staat;staat nation gesetz;sprechen halten pferd
11_12-2_Ueber_den_Zustand_der_Schwarzen_in_Amerika._Fortsetzung.;0.2092485549;0.0242774566;0.0358381503;0.0011560694;0.19768786130000002;0.0011560694;0.174566474;0.0705202312;0.0011560694;0.0242774566;0.0011560694;0.2092485549;0.0011560694;0.0358381503;0.012716763
11_13-1_Polizeiliche_Tages-Mittheilungen._16.01.1811;0.0964705882;0.0023529412;0.0494117647;0.0023529412;0.0964705882;0.025882352900000002;0.6611764706000001;0.0023529412;0.025882352900000002;0.0023529412;0.025882352900000002;0.0023529412;0.0023529412;0.0023529412;0.0023529412
11_13-2_Buelletin_der_oeffentlichen_Blaetter._16.01.1811;0.1016393443;0.0032786885000000003;0.0032786885000000003;0.0032786885000000003;0.1016393443;0.0032786885000000003;0.0032786885000000003;0.1016393443;0.6262295082;0.0032786885000000003;0.0032786885000000003;0.0360655738;0.0032786885000000003;0.0032786885000000003;0.0032786885000000003
11_13-3_Vermischte_Nachrichten._16.01.1811;0.0117647059;0.0117647059;0.0117647059;0.0117647059;0.0117647059;0.0117647059;0.0117647059;0.4823529412;0.0117647059;0.12941176470000001;0.12941176470000001;0.0117647059;0.0117647059;0.0117647059;0.12941176470000001
11_13-4_Zur_Beantwortung__der_literaerischen_Bemerkung_in_No._63._der;0.0028985507;0.0028985507;0.0028985507;0.0028985507;0.0608695652;0.8434782609;0.031884058;0.0028985507;0.0028985507;0.0028985507;0.031884058;0.0028985507;0.0028985507;0.0028985507;0.0028985507
11_13-5_Fragment_ueber_Erziehung.;0.0019417476000000002;0.0601941748;0.0019417476000000002;0.0019417476000000002;0.1572815534;0.0019417476000000002;0.0019417476000000002;0.0019417476000000002;0.0601941748;0.0019417476000000002;0.0019417476000000002;0.48737864080000004;0.2155339806;0.0019417476000000002;0.0019417476000000002
11_13-6_Anekdote._Zinngieer;0.0054054054;0.6540540541000001;0.0054054054;0.0054054054;0.0054054054;0.0054054054;0.0054054054;0.0054054054;0.0054054054;0.0054054054;0.1675675676;0.0054054054;0.0054054054;0.0054054054;0.11351351350000001
11_14-1_Sind_die_Termine_in_welchen_jetzt_die_Zins-_und_Kapital-Zah;0.000536193;0.000536193;0.000536193;0.4991957105;0.2150134048;0.054155496000000004;0.0112600536;0.0112600536;0.0273458445;0.0219839142;0.0327077748;0.000536193;0.000536193;0.1238605898;0.000536193
11_14-2_Das_Waschen_durch_Daempfe.;0.0252873563;0.0022988506;0.0022988506;0.0022988506;0.3931034483;0.0022988506;0.0022988506;0.0022988506;0.0022988506;0.0022988506;0.4390804598;0.0022988506;0.0022988506;0.1172413793;0.0022988506
11_15-1_Polizeiliche_Tages-Mittheilungen._18.01.1811;0.0285714286;0.0285714286;0.0285714286;0.0285714286;0.0285714286;0.0285714286;0.6000000000000001;0.0285714286;0.0285714286;0.0285714286;0.0285714286;0.0285714286;0.0285714286;0.0285714286;0.0285714286
11_15-2_Buelletin_der_oeffentlichen_Blaetter._18.01.1811;0.002247191;0.002247191;0.002247191;0.002247191;0.1146067416;0.002247191;0.1146067416;0.5865168539;0.002247191;0.002247191;0.002247191;0.0696629213;0.0471910112;0.0471910112;0.002247191
11_15-3_Mein_theurer_Freund_Ueber_die_Finanzmaregeln_der_Regierung;0.0005333333;0.0005333333;0.08053333330000001;0.0005333333;0.35253333330000003;0.0698666667;0.0165333333;0.0325333333;0.0378666667;0.0005333333;0.0005333333;0.0005333333;0.1018666667;0.2832;0.021866666700000002
